Country,League,Season,Date,Time,Home,Away,HG,AG,Res
Brazil,Serie A,2024,2024-06-14,01:30,Bahia,Fortaleza,1,0,H
Brazil,Serie A,2024,2024-06-14,01:30,Palmeiras,Vasco,2,0,H
Brazil,Serie A,2024,2024-06-15,22:30,Bragantino,Juventude,2,1,H
Brazil,Serie A,2024,2024-06-16,01:00,Fluminense,Atletico GO,1,2,A
Brazil,Serie A,2024,2024-06-16,20:00,Athletico-PR,Flamengo RJ,1,1,D
Brazil,Serie A,2024,2024-06-16,20:00,Corinthians,Sao Paulo,2,2,D
Brazil,Serie A,2024,2024-06-16,20:00,Vitoria,Internacional,2,1,H
Brazil,Serie A,2024,2024-06-16,22:30,Criciuma,Bahia,2,2,D
Brazil,Serie A,2024,2024-06-16,22:30,Cuiaba,Fortaleza,5,0,H
Brazil,Serie A,2024,2024-06-16,22:30,Gremio,Botafogo RJ,1,2,A
Brazil,Serie A,2024,2024-06-16,22:30,Vasco,Cruzeiro,0,0,D
Brazil,Serie A,2024,2024-06-18,00:30,Atletico-MG,Palmeiras,0,4,A
Brazil,Serie A,2024,2024-06-19,23:00,Atletico GO,Criciuma,1,2,A
Brazil,Serie A,2024,2024-06-19,23:00,Botafogo RJ,Athletico-PR,1,1,D
Brazil,Serie A,2024,2024-06-20,00:00,Fortaleza,Gremio,1,0,H
Brazil,Serie A,2024,2024-06-20,00:00,Juventude,Vasco,2,0,H
Brazil,Serie A,2024,2024-06-20,00:00,Sao Paulo,Cuiaba,0,1,A
Brazil,Serie A,2024,2024-06-20,01:30,Cruzeiro,Fluminense,2,0,H
Brazil,Serie A,2024,2024-06-20,01:30,Internacional,Corinthians,1,0,H
Brazil,Serie A,2024,2024-06-20,22:30,Vitoria,Atletico-MG,4,2,H
Brazil,Serie A,2024,2024-06-21,00:00,Flamengo RJ,Bahia,2,1,H
Brazil,Serie A,2024,2024-06-21,01:30,Palmeiras,Bragantino,2,1,H
Brazil,Serie A,2024,2024-06-22,20:00,Criciuma,Botafogo RJ,2,1,H
Brazil,Serie A,2024,2024-06-22,21:30,Gremio,Internacional,0,1,A
Brazil,Serie A,2024,2024-06-22,22:30,Cuiaba,Atletico GO,0,0,D
Brazil,Serie A,2024,2024-06-23,01:30,Vasco,Sao Paulo,4,1,H
Brazil,Serie A,2024,2024-06-23,20:00,Athletico-PR,Corinthians,1,1,D
Brazil,Serie A,2024,2024-06-23,20:00,Bahia,Cruzeiro,4,1,H
Brazil,Serie A,2024,2024-06-23,20:00,Fluminense,Flamengo RJ,0,1,A
Brazil,Serie A,2024,2024-06-23,22:30,Atletico-MG,Fortaleza,1,1,D
Brazil,Serie A,2024,2024-06-23,22:30,Bragantino,Vitoria,2,1,H
Brazil,Serie A,2024,2024-06-23,22:30,Palmeiras,Juventude,3,1,H
Brazil,Serie A,2024,2024-06-26,23:00,Botafogo RJ,Bragantino,2,1,H
Brazil,Serie A,2024,2024-06-26,23:00,Cruzeiro,Athletico-PR,2,0,H
Brazil,Serie A,2024,2024-06-27,00:00,Atletico GO,Gremio,1,1,D
Brazil,Serie A,2024,2024-06-27,00:00,Corinthians,Cuiaba,1,1,D
Brazil,Serie A,2024,2024-06-27,00:00,Juventude,Flamengo RJ,2,1,H
Brazil,Serie A,2024,2024-06-27,01:30,Bahia,Vasco,2,1,H
Brazil,Serie A,2024,2024-06-27,01:30,Fortaleza,Palmeiras,3,0,H
Brazil,Serie A,2024,2024-06-27,01:30,Internacional,Atletico-MG,1,2,A
Brazil,Serie A,2024,2024-06-27,23:00,Fluminense,Vitoria,0,1,A
Brazil,Serie A,2024,2024-06-28,00:00,Sao Paulo,Criciuma,2,1,H
Brazil,Serie A,2024,2024-06-29,22:30,Cuiaba,Bragantino,1,1,D
