Country,League,Season,Date,Time,Home,Away,HG,AG,Res
Brazil,Serie A,2024,2024-11-09,00:30,Palmeiras,Gremio,1,0,H
Brazil,Serie A,2024,2024-11-09,19:30,Botafogo RJ,Cuiaba,0,0,D
Brazil,Serie A,2024,2024-11-09,19:30,Vitoria,Corinthians,1,2,A
Brazil,Serie A,2024,2024-11-09,22:00,Atletico GO,Bragantino,0,0,D
Brazil,Serie A,2024,2024-11-09,22:00,Cruzeiro,Criciuma,2,1,H
Brazil,Serie A,2024,2024-11-09,22:00,Fortaleza,Vasco,3,0,H
Brazil,Serie A,2024,2024-11-09,22:00,Juventude,Bahia,2,1,H
Brazil,Serie A,2024,2024-11-10,00:00,Sao Paulo,Athletico-PR,2,1,H
Brazil,Serie A,2024,2024-11-13,23:00,Flamengo RJ,Atletico-MG,0,0,D
Brazil,Serie A,2024,2024-11-16,21:30,Athletico-PR,Atletico-MG,1,0,H
Brazil,Serie A,2024,2024-11-20,14:00,Corinthians,Cruzeiro,2,1,H
Brazil,Serie A,2024,2024-11-20,19:30,Athletico-PR,Atletico GO,2,0,H
Brazil,Serie A,2024,2024-11-20,19:30,Bragantino,Sao Paulo,1,1,D
Brazil,Serie A,2024,2024-11-20,19:30,Criciuma,Vitoria,0,1,A
Brazil,Serie A,2024,2024-11-20,21:00,Bahia,Palmeiras,1,2,A
Brazil,Serie A,2024,2024-11-20,22:00,Cuiaba,Flamengo RJ,1,2,A
Brazil,Serie A,2024,2024-11-20,22:00,Gremio,Juventude,2,2,D
Brazil,Serie A,2024,2024-11-21,00:30,Atletico-MG,Botafogo RJ,0,0,D
Brazil,Serie A,2024,2024-11-21,23:00,Vasco,Internacional,0,1,A
Brazil,Serie A,2024,2024-11-23,00:30,Fluminense,Fortaleza,2,2,D
Brazil,Serie A,2024,2024-11-23,22:30,Atletico GO,Palmeiras,0,1,A
Brazil,Serie A,2024,2024-11-23,22:30,Botafogo RJ,Vitoria,1,1,D
Brazil,Serie A,2024,2024-11-23,22:30,Juventude,Cuiaba,1,1,D
Brazil,Serie A,2024,2024-11-24,00:30,Sao Paulo,Atletico-MG,2,2,D
Brazil,Serie A,2024,2024-11-24,19:00,Bahia,Athletico-PR,1,1,D
Brazil,Serie A,2024,2024-11-24,19:00,Corinthians,Vasco,3,1,H
Brazil,Serie A,2024,2024-11-24,19:00,Internacional,Bragantino,4,1,H
Brazil,Serie A,2024,2024-11-26,22:00,Fluminense,Criciuma,0,0,D
Brazil,Serie A,2024,2024-11-26,23:00,Fortaleza,Flamengo RJ,0,0,D
Brazil,Serie A,2024,2024-11-27,00:30,Atletico-MG,Juventude,2,3,A
Brazil,Serie A,2024,2024-11-27,00:30,Palmeiras,Botafogo RJ,1,3,A
Brazil,Serie A,2024,2024-11-28,00:00,Cruzeiro,Gremio,1,1,D
Brazil,Serie A,2024,2024-11-30,22:30,Criciuma,Corinthians,2,4,A
Brazil,Serie A,2024,2024-11-30,22:30,Cuiaba,Bahia,1,2,A
Brazil,Serie A,2024,2024-12-01,00:30,Vasco,Atletico GO,2,2,D
Brazil,Serie A,2024,2024-12-01,19:00,Flamengo RJ,Internacional,3,2,H
Brazil,Serie A,2024,2024-12-01,19:00,Gremio,Sao Paulo,2,1,H
Brazil,Serie A,2024,2024-12-01,21:30,Athletico-PR,Fluminense,1,1,D
Brazil,Serie A,2024,2024-12-01,21:30,Bragantino,Cruzeiro,1,1,D
Brazil,Serie A,2024,2024-12-01,21:30,Vitoria,Fortaleza,2,0,H
Brazil,Serie A,2024,2024-12-03,23:00,Corinthians,Bahia,3,0,H
Brazil,Serie A,2024,2024-12-04,22:00,Vasco,Atletico-MG,2,0,H
Brazil,Serie A,2024,2024-12-04,23:00,Criciuma,Flamengo RJ,0,3,A
Brazil,Serie A,2024,2024-12-04,23:00,Sao Paulo,Juventude,1,2,A
Brazil,Serie A,2024,2024-12-04,23:00,Vitoria,Gremio,1,1,D
Brazil,Serie A,2024,2024-12-05,00:30,Atletico GO,Fortaleza,3,1,H
Brazil,Serie A,2024,2024-12-05,00:30,Cruzeiro,Palmeiras,1,2,A
Brazil,Serie A,2024,2024-12-05,00:30,Internacional,Botafogo RJ,0,1,A
Brazil,Serie A,2024,2024-12-05,23:00,Athletico-PR,Bragantino,1,2,A
Brazil,Serie A,2024,2024-12-05,23:00,Fluminense,Cuiaba,1,0,H
Brazil,Serie A,2024,2024-12-08,19:00,Atletico-MG,Athletico-PR,1,0,H
Brazil,Serie A,2024,2024-12-08,19:00,Bahia,Atletico GO,2,0,H
Brazil,Serie A,2024,2024-12-08,19:00,Botafogo RJ,Sao Paulo,2,1,H
Brazil,Serie A,2024,2024-12-08,19:00,Bragantino,Criciuma,5,1,H
Brazil,Serie A,2024,2024-12-08,19:00,Cuiaba,Vasco,1,2,A
Brazil,Serie A,2024,2024-12-08,19:00,Flamengo RJ,Vitoria,2,2,D
Brazil,Serie A,2024,2024-12-08,19:00,Fortaleza,Internacional,3,0,H
Brazil,Serie A,2024,2024-12-08,19:00,Gremio,Corinthians,0,3,A
Brazil,Serie A,2024,2024-12-08,19:00,Juventude,Cruzeiro,0,1,A
Brazil,Serie A,2024,2024-12-08,19:00,Palmeiras,Fluminense,0,1,A
